0,Condition,Drugname,Value
105,Abnormal Uterine Bleeding,Provera,0.089683804
106,Abnormal Uterine Bleeding,Quasense,0.003520617
107,Abnormal Uterine Bleeding,Seasonale,0.002832462
108,Abnormal Uterine Bleeding,Seasonique,0.011708198
109,Abnormal Uterine Bleeding,Sprintec,0.010630763
110,Abnormal Uterine Bleeding,Sronyx,0.011608001
111,Abnormal Uterine Bleeding,Tri-Linyah,0.001363457
112,Abnormal Uterine Bleeding,Tri-Lo-Sprintec,0.002515842
113,Abnormal Uterine Bleeding,Tri-Previfem,0.014409247
114,Abnormal Uterine Bleeding,Tri-Sprintec,0.00910968
115,Abnormal Uterine Bleeding,TriNessa,0.00900541
116,Abortion,Cytotec,35.76639292
117,Abortion,Misoprostol,27.51639292
118,Acne,Absorica,0.007935847
119,Acne,Acanya,0.007794821
120,Acne,Accutane,0.020663779
121,Acne,Acticlate,0.005916055
122,Acne,Aczone,0.015856634
123,Acne,Adapalene,0.01374261
124,Acne,Adapalene / benzoyl peroxide,0.008922229
125,Acne,Adoxa,0.023317465
126,Acne,Aldactone,0.085513342
127,Acne,Altabax,0.001975389
128,Acne,Amnesteem,0.010020532
129,Acne,Atralin,0.02647581
130,Acne,Avita,0.011165594
131,Acne,Azelaic acid,0.018755434
132,Acne,Azelex,0.008984165
133,Acne,Bactrim,0.025055075
134,Acne,Bactrim DS,0.008275329
135,Acne,Benzaclin,0.011264062
136,Acne,Benzamycin,0.009526959
137,Acne,Benzoyl peroxide,0.013167409
138,Acne,Benzoyl peroxide / clindamycin,0.011069163
139,Acne,Benzoyl peroxide / erythromycin,0.0149819
140,Acne,Benzoyl peroxide / hydrocortisone,0
141,Acne,Beyaz,0.006334238
142,Acne,Cephalexin,0.011540065
143,Acne,Claravis,0.013648239
144,Acne,Clarifoam EF,0.007214165
145,Acne,Clindagel,0.03786039
146,Acne,Clindamycin,0.034062242
147,Acne,Clindamycin / tretinoin,0.011908935
148,Acne,Dapsone,0.016418171
149,Acne,Desquam-X Wash,0.033896311
150,Acne,Differin,0.02182737
151,Acne,Doryx,0.021649427
152,Acne,Doxy 100,0.028856142
153,Acne,Doxycycline,0.013465873
154,Acne,Drospirenone / ethinyl estradiol,0.010769401
155,Acne,Drospirenone / ethinyl estradiol / levomefolate calcium,0.007555796
156,Acne,Duac,0.012137225
157,Acne,Epiduo,0.010883469
158,Acne,Epiduo Forte,0.003900948
159,Acne,Estarylla,0.004301116
160,Acne,Ethinyl estradiol / norethindrone,0.00642799
161,Acne,Ethinyl estradiol / norgestimate,0.00818147
162,Acne,Fabior,0.002359497
163,Acne,Finacea,0.027092403
164,Acne,Fostex Medicated,0.002993437
165,Acne,Gianvi,0.007213194
166,Acne,Gildess Fe 1 / 20,0.002798118
167,Acne,Gildess Fe 1.5 / 30,0.00093218
168,Acne,Hexachlorophene,0
169,Acne,Inova 4 / 1,0
170,Acne,Isotretinoin,0.016577741
171,Acne,Junel Fe 1 / 20,0.007455497
172,Acne,Junel Fe 1.5 / 30,0
173,Acne,Keflex,0.02395231
174,Acne,Loestrin 24 Fe,0.007237192
175,Acne,Loestrin Fe 1 / 20,0.000656035
176,Acne,Loryna,0.002973666
177,Acne,Microgestin Fe 1 / 20,0.002897994
178,Acne,Microgestin Fe 1.5 / 30,0.000737686
179,Acne,Minocin,0.010629785
180,Acne,Minocycline,0.01118835
181,Acne,Monodox,0.021561833
182,Acne,Myorisan,0.010965293
183,Acne,Norinyl 1+35,0.01990546
184,Acne,Ocella,0.002932884
185,Acne,Onexton,0.010529025
186,Acne,Ortho Tri-Cyclen,0.01527409
187,Acne,Ortho-Novum 1 / 35,0.012698012
188,Acne,Oxy-10,0.013551642
189,Acne,PanOxyl,0.027955689
190,Acne,Phillips' Milk of Magnesia,0.039728065
191,Acne,Retapamulin,0.003748879
192,Acne,Retin A Micro,0
193,Acne,Retin-A,0.035939742
194,Acne,SMZ-TMP DS,0.002040249
195,Acne,Salicylic acid / sulfur,0.0055917
196,Acne,Solodyn,0.016634993
197,Acne,Spironolactone,0.022675259
198,Acne,Sulfacetamide sodium / sulfur,0.015817301
199,Acne,Sulfamethoxazole / trimethoprim,0.017486241
200,Acne,Sumadan,0.008877442
201,Acne,Tazarotene,0.012981249
202,Acne,Tazorac,0.023340835
203,Acne,Tetracycline,0.006037785
204,Acne,Tretin-X,0.000602265
205,Acne,Tretinoin,0.020422313
206,Acne,Tri-Estarylla,0.000100449
207,Acne,Tri-Linyah,0.001109684
208,Acne,Tri-Previfem,0.007264123
209,Acne,Tri-Sprintec,0.011634109
210,Acne,TriNessa,0.010024222
211,Acne,Veltin,0.009459345
212,Acne,Vestura,0.0023979
213,Acne,Yasmin,0.009176131
214,Acne,Yaz,0.013381263
215,Acne,Zenatane,0.001881866
216,Acne,Ziana,0.014736497
217,Acne,femhrt,0.000425494
218,Actinic Keratosis,Efudex,3.958044551
219,Actinic Keratosis,Fluorouracil,4.48201522
220,Actinic Keratosis,Picato,4.083174478
221,Acute Coronary Syndrome,Brilinta,1.032323577
222,Acute Coronary Syndrome,Effient,1.750104728
223,Acute Coronary Syndrome,Prasugrel,1.220077014
224,Acute Coronary Syndrome,Ticagrelor,1.169071433
225,Acute Lymphoblastic Leukemia,Gleevec,10.99322122
226,Acute Lymphoblastic Leukemia,Sprycel,2.935499176
227,Acute Nonlymphocytic Leukemia,Accutane,13.70136249
228,Acute Nonlymphocytic Leukemia,Isotretinoin,13.70136249
229,Acute Otitis Externa,Ciprofloxacin,1.045225002
230,Acute Promyelocytic Leukemia,Arsenic trioxide,8.880002528
231,Acute Promyelocytic Leukemia,Vesanoid,1.922067106
232,Addison's Disease,Dexamethasone,0
233,Addison's Disease,Fludrocortisone,30.82507495
234,Addison's Disease,Hydrocortone,5.790057699
235,Adrenocortical Insufficiency,Cortef,20.96296878
236,Adrenocortical Insufficiency,Hydrocortisone,9.699834029
237,Adrenocortical Insufficiency,Prednisone,2.637783587
238,Adult Human Growth Hormone Deficiency,Humatrope,8.417286604
239,Adult Human Growth Hormone Deficiency,Norditropin,12.28341253
240,Adult Human Growth Hormone Deficiency,Somatropin,0.917588824
241,Aggressive Behavi,Haloperidol,3.845003933
242,Agitated State,Abilify,2.889993239
243,Agitated State,Aripiprazole,3.50273786
244,Agitation,Loxapine,1.430264711
245,Agitation,Risperidone,1.980593741
246,Alcohol Dependence,Acamprosate,0.920716042
247,Alcohol Dependence,Antabuse,1.362114971
248,Alcohol Dependence,Campral,0.919835519
249,Alcohol Dependence,Disulfiram,0.909977708
250,Alcohol Dependence,Naltrexone,0.815737211
251,Alcohol Dependence,Revia,1.939412125
252,Alcohol Dependence,Vivitrol,1.138157438
253,Alcohol Withdrawal,Baclofen,0.97436836
254,Alcohol Withdrawal,Catapres,1.179425814
255,Alcohol Withdrawal,Chlordiazepoxide,1.612591116
256,Alcohol Withdrawal,Clonidine,1.144334663
257,Alcohol Withdrawal,Clorazepate,1.508535981
258,Alcohol Withdrawal,Diazepam,0.90639562
259,Alcohol Withdrawal,Gabapentin,1.319540072
260,Alcohol Withdrawal,Librium,1.414728941
261,Alcohol Withdrawal,Neurontin,3.091885871
262,Alcohol Withdrawal,Oxazepam,0.701962746
263,Alcohol Withdrawal,Valium,1.188055813
264,Allergic Reactions,Benadryl,0.657876501
265,Allergic Reactions,Benadryl Allergy,0.995720649
266,Allergic Reactions,Chlor-Trimeton,1.11351344
267,Allergic Reactions,Chlorpheniramine,0
268,Allergic Reactions,Cyproheptadine,0.407569614
269,Allergic Reactions,Dexchlorpheniramine,0.146317185
270,Allergic Reactions,Diphenhydramine,0.658757641
271,Allergic Reactions,Epinephrine,0.594175729
272,Allergic Reactions,Prednisone,1.014489641
273,Allergic Reactions,Promethazine,0.382340581
274,Allergic Rhinitis,Acetaminophen / dexbrompheniramine / pseudoephedrine,0.002528463
275,Allergic Rhinitis,Acrivastine / pseudoephedrine,0.029220818
276,Allergic Rhinitis,Allegra,0.102344855
277,Allergic Rhinitis,Allegra Allergy,0.002160395
278,Allergic Rhinitis,Allegra ODT,0.1519674
279,Allergic Rhinitis,Allegra-D 12 Hour,0.057639699
280,Allergic Rhinitis,Allegra-D 24 Hour,0.059407173
281,Allergic Rhinitis,Astelin,0.188208016
282,Allergic Rhinitis,Astepro,0.096977162
283,Allergic Rhinitis,Azelastine,0.095083486
284,Allergic Rhinitis,Azelastine / fluticasone,0.054556216
285,Allergic Rhinitis,Beclomethasone,0.013784871
286,Allergic Rhinitis,Benadryl,0.043944843
287,Allergic Rhinitis,Benadryl Allergy Sinus,0.017533102
288,Allergic Rhinitis,Brompheniramine,0.052614748
289,Allergic Rhinitis,Budesonide,0.033886315
290,Allergic Rhinitis,Cetirizine,0.070890705
291,Allergic Rhinitis,Children's Claritin Allergy,0.087697676
292,Allergic Rhinitis,Chlor-Trimeton,0.085588912
293,Allergic Rhinitis,Chlorpheniramine,0.095107538
294,Allergic Rhinitis,Chlorpheniramine / phenylephrine,0.023045834
295,Allergic Rhinitis,Chlorpheniramine / pseudoephedrine,0.037403706
296,Allergic Rhinitis,Ciclesonide,0
297,Allergic Rhinitis,Clarinex,0.04211709
298,Allergic Rhinitis,Clarinex-D 12 Hour,0.005827056
299,Allergic Rhinitis,Claritin,0.096448183
300,Allergic Rhinitis,Claritin-D,0.062168078
301,Allergic Rhinitis,Claritin-D 12 Hour,0
302,Allergic Rhinitis,Claritin-D 24 Hour,0.068629118
303,Allergic Rhinitis,Cyproheptadine,0.122703734
304,Allergic Rhinitis,Decadron,0.087097016
305,Allergic Rhinitis,Desloratadine,0.013302063
306,Allergic Rhinitis,Dexbrompheniramine / pseudoephedrine,0.065944547
307,Allergic Rhinitis,Dexchlorpheniramine,0.081823998
308,Allergic Rhinitis,Diphenhydramine,0.006123098
309,Allergic Rhinitis,Drixoral Cold and Allergy,0.068585927
310,Allergic Rhinitis,Dymista,0.052788499
311,Allergic Rhinitis,Fexofenadine,0.069429525
312,Allergic Rhinitis,Fexofenadine / pseudoephedrine,0.023587607
313,Allergic Rhinitis,Flonase,0.076037697
314,Allergic Rhinitis,Flonase Sensimist,0.005494069
315,Allergic Rhinitis,Flunisolide,0.052225089
316,Allergic Rhinitis,Fluticasone,0.074574793
317,Allergic Rhinitis,Kenalog-40,0.240785245
318,Allergic Rhinitis,Levocetirizine,0.098083783
319,Allergic Rhinitis,Loratadine,0.042299066
320,Allergic Rhinitis,Loratadine / pseudoephedrine,0.06389723
321,Allergic Rhinitis,Methylprednisolone,0.02014028
322,Allergic Rhinitis,Mometasone,0.065696744
323,Allergic Rhinitis,Montelukast,0.13052254
324,Allergic Rhinitis,Nasacort,0.062259774
325,Allergic Rhinitis,Nasacort Allergy 24HR,0.005854379
326,Allergic Rhinitis,Nasarel,0.052225089
327,Allergic Rhinitis,Nasonex,0.06762726
328,Allergic Rhinitis,Olopatadine,0.062413358
329,Allergic Rhinitis,Omnaris,0.058027271
330,Allergic Rhinitis,Patanase,0.066629969
331,Allergic Rhinitis,Promethazine,0.011359177
332,Allergic Rhinitis,Pseudoephedrine / triprolidine,0.037279795
333,Allergic Rhinitis,QNASL,0.011364719
334,Allergic Rhinitis,Rhinocort Aqua,0.051337417
335,Allergic Rhinitis,Singulair,0.259914576
336,Allergic Rhinitis,Triamcinolone,0.058409016
337,Allergic Rhinitis,Veramyst,0.035372424
338,Allergic Rhinitis,Wal-finate,0.046782011
339,Allergic Rhinitis,Xyzal,0.071065083
340,Allergic Rhinitis,Zyrtec,0.062479857
341,Allergic Rhinitis,Zyrtec-D,0
342,Allergic Rhinitis,Zyrtec-D 12 Hour,0.08155847
343,Allergic Urticaria,Famotidine,4.664937115
344,Allergic Urticaria,Hydroxyzine,7.230061968
345,Allergic Urticaria,Vistaril,11.01724461
346,Allergies,Atarax,0.850109691
347,Allergies,Hydroxyzine,0.947091647
348,Allergies,Levocetirizine,0.443804157
349,Allergies,Xyzal,0.540063901
350,Alopecia,Kenalog-10,1.681309165
351,Alopecia,Minoxidil,2.87427537
352,Alopecia,Rogaine,7.01008913
353,Alopecia,Rogaine Women's,4.791664825
354,Alopecia,Spironolactone,3.355806934
355,Alopecia,Triamcinolone,2.230108437
356,Alpha-1 Proteinase Inhibitor Deficiency,Alpha 1-proteinase inhibitor,3.653689583
357,Alpha-1 Proteinase Inhibitor Deficiency,Prolastin-C,3.975857735
358,Alzheimer's Disease,Aricept,6.462541561
359,Alzheimer's Disease,Donepezil,1.887763525
360,Alzheimer's Disease,Exelon,0.826533068
361,Alzheimer's Disease,Galantamine,0.922465474
362,Alzheimer's Disease,Memantine,2.036601135
363,Alzheimer's Disease,Namenda,2.540268938
364,Alzheimer's Disease,Razadyne ER,1.090994447
365,Alzheimer's Disease,Rivastigmine,0.417677398
366,Amebiasis,Metronidazole,0
367,Amebiasis,Tinidazole,22.41254604
368,Amenorrhea,Depo-Provera,0.073825416
369,Amenorrhea,Medroxyprogesterone,0.629596551
370,Amenorrhea,Norethindrone,0.262789488
371,Amenorrhea,Progesterone,1.12561119
372,Amenorrhea,Prometrium,1.754945693
373,Amenorrhea,Provera,1.202074103
374,Anal Fissure and Fistula,Nitroglycerin,2.263791022
375,Anal Fissure and Fistula,Rectiv,3.272169951
376,Anal Itching,Boudreaux Butt Paste,4.610193551
377,Anal Itching,Sarna Sensitive,2.478749931
378,Anal Itching,Zinc oxide,5.776860217
379,Anaphylaxis,Epinephrine,0
380,Anaplastic Astrocytoma,Temozolomide,0.586050205
381,Anaplastic Oligodendroglioma,Temodar,47.48265934
382,Androgenetic Alopecia,Finasteride,3.0316156
383,Androgenetic Alopecia,Propecia,3.66848634
384,Anemia,Epoetin alfa,0.427054682
385,Anemia,Ferralet 90,2.415419925
386,Anemia,Maxaron Forte,0.918877801
387,Anemia,Multivitamin with iron,2.559538254
388,Anemia,Oxymetholone,0.509863355
389,Anemia Associated with Chronic Renal Failure,Aranesp,1.764104835
390,Anemia Associated with Chronic Renal Failure,Darbepoetin alfa,3.196274987
391,Anemia Associated with Chronic Renal Failure,Feosol Original,2.849240167
392,Anemia Associated with Chronic Renal Failure,Ferrlecit,0.629292446
393,Anemia Associated with Chronic Renal Failure,Ferrous sulfate,2.849240167
394,Anemia Associated with Chronic Renal Failure,Procrit,10.85965388
395,Anemia Associated with Chronic Renal Failure,Sodium ferric gluconate complex,0.629292446
396,"Anemia, Chemotherapy Induced",Procrit,77.45520145
397,"Anemia, Sickle Cell",Hydroxyurea,18.48282301
398,Anesthesia,Diprivan,0.62286192
399,Anesthesia,Emla,0.116395798
400,Anesthesia,Fentanyl,0.244840848
401,Anesthesia,Ketamine,0.168252255
402,Anesthesia,Lidocaine,0.093958026
403,Anesthesia,Lidocaine / prilocaine,0
404,Anesthesia,Pentothal,0.072041934
405,Anesthesia,Propofol,0.33642177
406,Anesthesia,Rocuronium,0.023343134
407,Anesthesia,Succinylcholine,0.059941088
408,Anesthesia,Thiopental,0.109777783
409,Angina,Atenolol,1.032137533
410,Angina,Carvedilol,0.046493433
411,Angina,Enoxaparin,0
412,Angina,Isosorbide mononitrate,0.073424936
413,Angina,Metoprolol,0.85727594
414,Angina,Nitroglycerin,2.034268449
415,Angina,Nitrolingual Pumpspray,2.034268449
416,Angina,Ranexa,2.063442224
417,Angina,Ranolazine,1.671217101
418,Angina Pectoris Prophylaxis,Diltiazem,2.620745977
419,Angina Pectoris Prophylaxis,Imdur,1.116504836
420,Angina Pectoris Prophylaxis,Isosorbide dinitrate,1.072573635
421,Angina Pectoris Prophylaxis,Isosorbide mononitrate,4.631598109
422,Angina Pectoris Prophylaxis,Nitroglycerin,1.247613589
423,Angina Pectoris Prophylaxis,Nitrostat,1.914280256
424,Ankylosing Spondylitis,Adalimumab,1.071068686
425,Ankylosing Spondylitis,Cataflam,0.109750023
426,Ankylosing Spondylitis,Cimzia,0.230157639
427,Ankylosing Spondylitis,Clinoril,0.428254255
428,Ankylosing Spondylitis,Cosentyx,0.132660276
429,Ankylosing Spondylitis,Diclofenac,0.149520391
430,Ankylosing Spondylitis,Enbrel,0.473432067
431,Ankylosing Spondylitis,Esomeprazole / naproxen,0.247140024
432,Ankylosing Spondylitis,Etanercept,0.483821517
433,Ankylosing Spondylitis,Golimumab,0.266454767
434,Ankylosing Spondylitis,Humira,0.858329967
435,Ankylosing Spondylitis,Indocin SR,0.292568209
436,Ankylosing Spondylitis,Indomethacin,0.164478107
437,Ankylosing Spondylitis,Infliximab,0.827946081
438,Ankylosing Spondylitis,Naprosyn,0.131939846
439,Ankylosing Spondylitis,Naproxen,0.329328775
440,Ankylosing Spondylitis,Remicade,0.680820192
441,Ankylosing Spondylitis,Secukinumab,0.067061384
442,Ankylosing Spondylitis,Simponi,0.71844611
443,Ankylosing Spondylitis,Vimovo,0.011862351
444,Ankylosing Spondylitis,Voltaren,0.307478619
445,Anorexia,Cyproheptadine,3.262637681
446,Anorexia,Dronabinol,1.518871567
447,Anorexia,Marinol,1.564018767
448,Anorexia,Megace ES,1.643435184
449,Anorexia,Megestrol,1.300791705
450,Antiphospholipid Syndrome,Warfarin,29.95835567
451,Anxiety,Alprazolam,0.033153185
452,Anxiety,Amitriptyline / perphenazine,0.030077698
453,Anxiety,Aspirin / meprobamate,0.002898895
454,Anxiety,Atarax,0.050793324
455,Anxiety,Atenolol,0.063427675
456,Anxiety,Ativan,0.047889624
457,Anxiety,BuSpar,0.072306169
458,Anxiety,Bupropion,0.04060914
459,Anxiety,Buspirone,0.04920313
460,Anxiety,Chlordiazepoxide,0.010247675
461,Anxiety,Clonazepam,0.035000925
462,Anxiety,Clonidine,0.052489515
463,Anxiety,Clorazepate,0.042385382
464,Anxiety,Cymbalta,0.047074821
465,Anxiety,Desvenlafaxine,0.022146975
466,Anxiety,Diazepam,0.050084446
467,Anxiety,Diazepam Intensol,0.043133987
468,Anxiety,Doxepin,0.012921178
469,Anxiety,Duloxetine,0.053037402
470,Anxiety,Effexor XR,0.056997446
471,Anxiety,Escitalopram,0.035927941
472,Anxiety,Gabapentin,0.071267646
473,Anxiety,Hydroxyzine,0.030096825
474,Anxiety,Kava,0.008696483
475,Anxiety,Klonopin,0.058711563
476,Anxiety,Klonopin Wafer,0.018327693
477,Anxiety,Lamotrigine,0.025849111
478,Anxiety,Lexapro,0.041324249
479,Anxiety,Librium,0.040356106
480,Anxiety,Limbitrol DS,0.006936843
481,Anxiety,Lorazepam,0.034788974
482,Anxiety,Lorazepam Intensol,0.043831385
483,Anxiety,Meprobamate,0.018585213
484,Anxiety,Miltown,0.030072018
485,Anxiety,Mirtazapine,0.052191397
486,Anxiety,Nefazodone,0.013871017
487,Anxiety,Neurontin,0.196892784
488,Anxiety,Niravam,0.032743294
489,Anxiety,Oxazepam,0.075327135
490,Anxiety,Oxcarbazepine,0.023390564
491,Anxiety,Paroxetine,0.040421913
492,Anxiety,Paxil,0.057868251
493,Anxiety,Paxil CR,0.016535714
494,Anxiety,Phenytoin,0.052077534
495,Anxiety,Pristiq,0.021391248
496,Anxiety,Prochlorperazine,0.002604441
497,Anxiety,Propranolol,0.025570501
498,Anxiety,Remeron,0.105514347
499,Anxiety,Risperidone,0.033243301
500,Anxiety,Serax,0.080804236
501,Anxiety,Stelazine,0.023434695
502,Anxiety,Tenormin,0.149070439
503,Anxiety,Tramadol,0.071948592
504,Anxiety,Tranxene,0.039731814
505,Anxiety,Trazodone,0.064174697
506,Anxiety,Triavil,0.040187239
507,Anxiety,Trifluoperazine,0.017417623
508,Anxiety,Valium,0.105813865
509,Anxiety,Vanspar,0.004570356
510,Anxiety,Venlafaxine,0.039674412
511,Anxiety,Viibryd,0.026999319
512,Anxiety,Vilazodone,0.005974474
513,Anxiety,Vistaril,0.045780424
514,Anxiety,Wellbutrin,0.115478218
515,Anxiety,Wellbutrin XL,0.056439437
516,Anxiety,Xanax,0.043722201
517,Anxiety,Xanax XR,0.048209906
518,Anxiety,Zetran,0.042493864
519,Anxiety and Stress,Amitriptyline,0.227876001
520,Anxiety and Stress,Celexa,0.254277633
521,Anxiety and Stress,Citalopram,0.181547305
522,Anxiety and Stress,Effexor,0.120613012
523,Anxiety and Stress,Effexor XR,0.051404009
524,Anxiety and Stress,Elavil,0.847026975
525,Anxiety and Stress,Fluoxetine,0.243389736
526,Anxiety and Stress,Fluvoxamine,0.146234647
527,Anxiety and Stress,Luvox,0.149500662
528,Anxiety and Stress,Luvox CR,0.101629577
529,Anxiety and Stress,Paroxetine,0.121714943
530,Anxiety and Stress,Paxil,0.123477822
531,Anxiety and Stress,Prazosin,0.285925565
532,Anxiety and Stress,Prozac,0.339508482
533,Anxiety and Stress,Sertraline,0.134640386
534,Anxiety and Stress,Venlafaxine,0.059509765
535,Anxiety and Stress,Zoloft,0.097460757
536,Aphthous Ulce,Triamcinolone,87.04282165
537,Arrhythmia,Amiodarone,1.797617868
538,Arrhythmia,Calan SR,0.877080378
539,Arrhythmia,Cordarone,3.109929733
540,Arrhythmia,Disopyramide,0.647431579
541,Arrhythmia,Dofetilide,2.597124567
542,Arrhythmia,Inderal,0.687505562
543,Arrhythmia,Mexiletine,0.330549618
544,Arrhythmia,Mexitil,0.413882951
545,Arrhythmia,Norpace,0.740479766
546,Arrhythmia,Propranolol,0.347378471
547,Arrhythmia,Tikosyn,2.612582888
548,Arrhythmia,Verapamil,0.924919844
549,Ascariasis,Ivermectin,0.818846047
550,Asperger Syndrome,Lisdexamfetamine,4.241826144
551,Asperger Syndrome,Risperdal,11.74484588
552,Asperger Syndrome,Risperidone,24.58999775
553,"Aspergillosis, Aspergilloma",Sporanox,87.45337009
554,Aspiration Pneumonia,Amoxicillin / clavulanate,9.843015462
555,Aspiration Pneumonia,Lansoprazole,0
556,Asthma,Aerobid,0.289315656
557,Asthma,Alvesco,0.191435181
558,Asthma,Breo Ellipta,0.37147378
559,Asthma,Ciclesonide,0.412160221
560,Asthma,Dulera,0.137768086
561,Asthma,Fluticasone / vilanterol,0.308506038
562,Asthma,Mepolizumab,0.414405021
563,Asthma,Methylprednisolone,0.146964157
564,Asthma,Montelukast,0.378606312
565,Asthma,Nucala,0.058774682
566,Asthma,Prednisone,0.573520154
567,Asthma,Singulair,0.691086832
568,"Asthma, Maintenance",Advair Diskus,0.179538199
569,"Asthma, Maintenance",Advair HFA,0.081427922
570,"Asthma, Maintenance",Albuterol,0.106284718
